.2.4...8.....8...68....71..2..5...9..95.......4..3.........1..7..28...4.....6.3..  11.9 11.9 09.9   
....56.....71....3...7...1...1....4..4.....7287....9....23....4.....85..9...6....  11.7 11.7 02.6   
...4....9....8.2..6....3.1..1...7...7..6..5...3.....7.3....5.2...29..8......2...4  11.7 11.7 02.6   
...4.6.8..........7...3.5...6...8...5.7.9.......1...5.3.9...2....5.2.9...1.9...4.  11.7 11.7 02.6   
.2..5......71.9..6..9....1....9.78.....8..9.1....3..4.5..........6..81...3.....2.  11.7 11.7 02.6   
.2..5......71.9..6..9....1....8.79.....9..8.1....3..4.5..........6..81...3.....2.  11.7 11.7 02.6   
1...56.....71.......9....1..4..6.3.......8..29..7...6......24..5..6...9.....3...8  11.7 11.7 02.6   
.2...6....5.1.....8...7...4.3.........1....2.7.....9.33...4.8......9.3.7...5.3.6.  11.7 02.6 02.6   
.....67...5.1...3.....3...4..8..4...3..52.....9..1..2.7.....6...3.9...1...5.....8  11.7 01.2 01.2   
...4....9.5...9.3.......1.52..8.......6.4.....1...53....42...7.8...67....7......3  11.7 01.2 01.2   
...4...8...7..92......3...526...1.....19.....7.....1..5......4...6..29..9..8....3  11.7 01.2 01.2   
...4...8..5.1....6..9..24....4.9.1..8.......7.6.....5.....21.....29..3..7....3...  11.7 01.2 01.2   
..34....9.5...9.......2.1..2...7.....84........98....3.9.5....86......7.....1.6..  11.7 01.2 01.2   
.2....7..4....9..3....1..6....3.5..88.......5.6....2...1..7....5..9.4.....98.....  11.7 01.2 01.2   
.2...6......18......8.3.4....49....3....4.8..5......7.7......2...13..9...6...5...  11.7 01.2 01.2   
.2.45....4....92....6.2............83...9.5...7...3.1.5..9..3...8......6..1....7.  11.7 01.2 01.2   
1......89....8..2...82..5....93....5.....4....7..6.3..6...1.....4...7.....28...5.  11.7 01.2 01.2   
1.....7.9.57....3..8.7.....2...4......68......38....5......1..4....9...2...3..56.  11.7 01.2 01.2   
1.....7.9.57....3..8.7.....2...4......68......38....5......1..2....9...4...3..56.  11.7 01.2 01.2   
1....6.8.4......36....7.5...4...1..3....2......97......3...8.6...25..9...1.......  11.7 01.2 01.2   
1....67...5.7....3..8.....4.4.5..3......2..9........45.7.9...3.6...1......2..8...  11.7 01.2 01.2   
1...5..8...7.....6.8.3..5..2......1...6.....7.9...38.....9.4....4..3.9.....8...2.  11.6 11.6 11.2   
.2..5.7...56.....37....3...2...3...5...1...9..69...........481.6...7...2.4.8.....  11.6 11.6 10.8   
1.3.....9..71.9....9.....4..1...7..3....2.8.....5...6.....6.5..6..8...2..7...4...  11.6 11.6 10.7   
1....6....571......9..7..1...8...........89.29..5...6.....42..3.3....4..7..6...9.  11.6 11.6 10.6   
.......894....92.....7...4..35.7......651....8....2....7..6.5..5....7..8..13.....  11.6 11.6 10.5   
....5..8...67..1.......3..426.9.............19.7...2...3..4..1......8..5..21..6..  11.6 11.6 09.9   
....5.7.....1.9.6.........52....8.16.......2..3....4.7.7..4......19.2...9.86.....  11.6 11.6 09.9   
...4......5..8...3..9..2....9..6.3.......4.1...47...2..6....8..8...9...5..1....7.  11.6 11.6 09.9   
1....6.8....7....3.9....5....5.4.....4....2..6....1.3...2.9....8....3.7....8....6  11.6 11.6 09.9   
1...5..8...7.....6.9.2.........13....7.9..4..8..5......4.6..9.......5.3...2...6.7  11.6 11.6 09.9   
.2.4....9.......3.6...7.5...9.......3...1..5...43....87....5.1.....3.6....28....5  11.6 11.6 09.8   
..3..67...5..8.....9.1.........9..1...7..32..8..5...4.37....4.......4..6..4....72  11.6 11.6 09.5   
..3.5.7..4....9....8.2.....2......4..9.8.......1.6.5.....5.16......7...3..6....57  11.6 11.6 09.3   
..3.5...9...1..........2....7...1.6.5........9.8.3.4.....2...7...5...8.48...4...3  11.6 11.6 08.0   
.....6.8...71....6.8..2.4..2...3.8.....5...6......7..3.4..9.3....1....5.83.......  11.6 11.6 07.8   
......78.4.6.....3.8.......2.45......1..7....6..3.4.......9.81...52....6....3...2  11.6 11.6 02.6   
.....6.8....1..2...9..3...52.....1...3..9...77..8...6...5.....4.7.3.4...9...7....  11.6 11.6 02.6   
....5..8....1.92......7..5..1........64..1...7..63.....46...9..8.......5..2..46..  11.6 11.6 02.6   
....5.7.......9.32...1.2.6...4......8...4.....3.2.1....1.6...9.5.7...8...9....3..  11.6 11.6 02.6   
...4....94...8.2...6...7.5.2...4...3..5..1......9..8.........6..71......8..3....2  11.6 11.6 02.6   
...4..7.9....89.3.....3.....14...6........4..9......52.6.1.....5....8.2.8...23...  11.6 11.6 02.6   
...4.67....7...2.6.9.....5..3.......5..........4..28..3...9..1....6.......28.4..7  11.6 11.6 02.6   
..3.....94....91......3.54....6.....3...9...1.7...2.6...29..8....8..7...9...4...5  11.6 11.6 02.6   
..3...7..4...8..6......3..1.4.9.......5..7..2.6..4............78...2..9...2..15..  11.6 11.6 02.6   
.2...67..4...8...2..9....5...8....4.5.........3.1..2.....89.....6.3.1..7.....73..  11.6 11.6 02.6   
.2.4.......7.89...6.8.7.....3.............3.27.1....6....7...9.8...9..1....5..4.3  11.6 11.6 02.6   
.23...7..4.......66......1....8.5.....87.....97..6........1..4...2..85.....5.23..  11.6 11.6 02.6   
.23...7..4.......66......1....5.8.....57.....97..6.......8.23....2..58......1...4  11.6 11.6 02.6   
.23..6...4...8......93.7.......6..7..769...2.5.......1........5.3.6...9.....1.8..  11.6 11.6 02.6   
1.....7..4.......6.89....4...45.8.....82...5.7...6.........2.9...29.5.......1...3  11.6 11.6 02.6   
1....67......8...6.9.2........9...5.3...1.8........6.1..2....4.7...3...8..45.....  11.6 11.6 02.6   
1..45.....56..9.....9.......9...7.6..67....2.8.....3.....3..8......72.5....1....4  11.6 11.6 02.6   
1.3....8..5......6..9.2.1.......4..78...9..1....5....23..6......4...7.....1.3..2.  11.6 11.6 02.6   
12.....8..5....13...9.....421...3.......7......76........94...6.....5..38....2.5.  11.6 11.6 02.6   
....5..8...67..1.......3..42.....9....9..7...61.9..........8.3...1.7.6...3..4...5  11.6 01.2 01.2   
....56..94......3...9...5.12..........6..81...4.7...........9....8.6...5.3.2...7.  11.6 01.2 01.2   
....5....4....92...8.2....1..6....18.78....2.5.....3.....6..........49.3.1.7...6.  11.6 01.2 01.2   
..3.....94...8.2...6.7...1.2...9...8..4...3.......1.5.3.8.4.......6......7...5...  11.6 01.2 01.2   
..3..6.8.4..1..2...9......4.7...8....35......9...3...5..9.4...7.....2.1....8..6..  11.6 01.2 01.2   
.2...6..9..6...1....8.3..4.2....7..8....4.5.....1...3...2..8..78..5.....97.......  11.6 01.2 01.2   
1.....7.9.57....3..8.7.....2....4.....68......38....5......1..2....9...4...3..56.  11.6 01.2 01.2   
1....6.8....18.2...9..7.......7....37...6..1...9..54...4......25..6...7...1...3..  11.6 01.2 01.2   
1..4..7......8...6.....2..5.7....9..31.7.......6..5..3.4.9..3..7...2......8....2.  11.6 01.2 01.2   
1.3.......5...9...6...3.1..2.....3....4.1...2.8.....7..7...5......8...9...6.2.4..  11.6 01.2 01.2   
....5...9..71..2.......3.4.2....86..87.6.......6.1......28..1......4...3.9...1.5.  11.5 11.5 11.4   
..34......5...9...6...2.1..2...6...1.4.5...6...6..3.....9...6.7......8.28...7..1.  11.5 11.5 11.4   
1......8..5......6..93..4...7......18......5...4.2.6.....26...7...93......2..43..  11.5 11.5 11.4   
..3.5.7..4....9....8.2.......5.1.6.......4.2.9..8....737....5....6.....1....3...6  11.5 11.5 11.3   
..3.5.7..4....9....8.2.....2....5.4..9.8.......5.1.3.......16....65....3....6..75  11.5 11.5 11.3   
.....6......18.2.66..32.....7.....5...9...4..8....2..33....1..8..5...9......4.37.  11.5 11.5 11.1   
....5...9.5.1...3.....37...2..6..8...6..1..7...4..5.....9.....2.3...1.6.8.....4..  11.5 11.5 11.1   
...4..78......92..6...7...1.6..1...53..........5..84...3.....2.71.9.......6.3...7  11.5 11.5 11.1   
.2...6......1...3...9.7...5..5....78.3.....1.8...4.5....4.9.8...6.2.....9.......7  11.5 11.5 11.1   
.2..5......67..1..7....3..4..56.....3....7..8.17.2............7.....489.9.....34.  11.5 11.5 11.1   
.23.5.....567....27...........9.4.1.3...6...7.1....9..5...2...6.....84...38......  11.5 11.5 11.1   
1....6..9....8..3...82..4.....6.4.....5.2.6...7.5......3......1..4..25..9......7.  11.5 11.5 11.1   
.2...67..4...8..3....2.............53...4..1...5..76...34..8.9..81.9.4..9........  11.5 11.5 10.8   
1....6.....71..2...8..3...12.....1...3..9...8..6....7.....4.8...4.3..9.....9.5..4  11.5 11.5 10.8   
1..4..7...5......6..8.3..1.....9.1......289....93...2..6....5..7.......1..2..3.4.  11.5 11.5 10.8   
..3..67...5.1....66...2..4..8....9..3.18.......5.....8.....4.2..3.9....1....7.6..  11.5 11.5 10.7   
.....6.8....1.9..6.6..3.1..2.......87......5..1.3..4....8.4...25......7..9...38..  11.5 11.5 10.6   
...4.....4...891...9..31........5..6.8.3..4..6.7....5..1.9..8....2......9...2...7  11.5 11.5 10.6   
.2...6..94..18......8...4.........5...15...9..6...3..2..26....7.7..3.9.......7.3.  11.5 11.5 10.6   
.2..5.7..4....9.....8....1...1....4..6..3.5..9.......8....6..57...2..3...7.3.5...  11.5 11.5 10.6   
1....6....571.......9...51..4....3.......8..29..7...6......24..5..6...9.....3...8  11.5 11.5 10.6   
12..5.....5......6..6..3.....1.6...8.8.9...7......84.....7..8.......4.9...2.3...5  11.5 11.5 10.6   
...4..7......8...6..9..2.5.2....5.1.....7...8...6..5..3.5...4....1..3.9.9.2......  11.5 11.5 10.5   
.2.4...8.4.7..9...6.8......2..6...4.....459......1...3..27...6.........1.6..3.5..  11.5 11.5 10.5   
.2...6.....71....6....3..4..1.8....75...9......8..2...3......5.....4.9...6...8..1  11.5 11.5 10.4   
.....678....1....6.6..7.4...7...1..4..5.2....9...3....3.....5...1...7..8..29...4.  11.5 11.5 10.1   
.2.4....9..6.8.1..7....2...23.......5.....3.8..7..3.5.....1...4...9..8...7...5.6.  11.5 11.5 10.1   
....5.....5.1....3..9..7.5..3....8..6.......1..5.2..4......5.7...2.94....8.6..4..  11.5 11.5 10.0   
..34....94.....2...8...7....1..4..6.........39..5..4...6..1.........8.7...23....5  11.5 11.5 10.0   
..3..6..9.5.1.....8...7.........436...4...9.....62...4.1.8.......6..2..37...6..5.  11.5 11.5 09.9   
..3.5...9...1..2.......7.4.......1..5...9...88..2...7.3.5.......8..6...39.6..4...  11.5 11.5 09.9   
.2.4.......7..9...6...3.5.............4..1.9.8.....3.15...6...3....1.6.8..67...2.  11.5 11.5 09.9   
.2.4.6.....6.8.2..7....2....3.....9.5.......7..1..48....26..1...9..1..5.........3  11.5 11.5 09.9   
.2.4....9....8.2....6..2.1...1...3...6...7.5.7.5..........9...86....5.2....32.4..  11.5 11.5 07.8   
....5...9..67......8...2.4.23....8....79......4...3.1.....6...5......2.......143.  11.5 11.5 06.6   
1....6.....7.8.....9.3....5.1.5..3....6.7....8....1.2...1...9...4.9...5.......4.3  11.5 11.5 03.4   
1....6....5.7....2..9.3...4...5......7...1.....8.9.3..6.....4.8..2.4..9.......2.3  11.5 11.5 03.4   
1...56..9...7.........3.56...8...4...7.2.....6....3.1.3...9..5...2.......4....8..  11.5 11.5 03.4   
12..5....45....1....9...........7.6...5.2.4.....3....8...6....3.7...8.1...2.4.9..  11.5 11.5 03.4   
.....6.8...71....6.6..7..4..7...1..83.5.........5..9...4...8..1..23.....9......2.  11.5 11.5 02.6   
...4....9....8.12.....135..2...3.8...4.........96.....3...21.5.5.........6......7  11.5 11.5 02.6   
...4.6...45.........9.2..4..3......5..12...6.7.....8....2..4.9.8...9.3......1...7  11.5 11.5 02.6   
...4......5..8...6..9..3.4..6..1...53..9...2......2.....1.7.8....6.....7.7.8...5.  11.5 11.5 02.6   
..34..........9..6.9..7..1...4...8...7..6..2.5.....3......9...28..5.7....1...2.7.  11.5 11.5 02.6   
.2...6.....71...3.8....7..4..5...97.6.......8......3...4...2......79..1...93..5..  11.5 11.5 02.6   
.2..5......71.9..6..9....1....9.78.......89.1....3..4.5..........68..1...3.....2.  11.5 11.5 02.6   
1..........6.89...79.1........5.3.9.....4.6.2....2....37.....5..1.3...7...2...4..  11.5 11.5 02.6   
1..........6.89...79.1........5.3.9.....4.2.6....2....31.....7..7.3...5...2...4..  11.5 11.5 02.6   
1...5...9..7...2...6.2.......83..6...7.......5....4..3....4...1....9..4..3.7..8..  11.5 11.5 02.6   
1...5..8..5...9.31..9...5.....6....4.67.4....9....58....2..........7..2.8....31..  11.5 11.5 02.6   
1...5.7.......9..6.8.3.......4.6....7.........3.8..1......92..45..7..3....2....9.  11.5 11.5 02.6   
1...56.......8.2...9.7.....2....81....4....9..7......35...1.6...4...5......3...54  11.5 11.5 02.6   
1..4.......7.8...6.9....41......3....3.8..9....5.6...7..2......5....8..2.7..2.65.  11.5 11.5 02.6   
1..4.6....56.8.....8.........8.7...5.75.....29.....3.....3..19....1.........27..6  11.5 11.5 02.6   
1..4......57..9.......2.....7...38.5....1..2..8......3.9....3..6......4......59.8  11.5 11.5 02.6   
....567....71....6......41.2...9.....3...5.....67...4...8...1..5...3...8.9...2...  11.5 11.3 10.0   
.......894....92.....7...4..3..7......651....8....2.5..7..6.5..5.......8..13.5...  11.5 01.2 01.2   
.......894....92.....7...4..3..7......651....8....2.5..7..6.5..5....7..8..13.....  11.5 01.2 01.2   
.......894....92.....7...4..35.7......651....8....2....7..6.5..5.......8..13.5...  11.5 01.2 01.2   
.......894....92.....7...4..35.7......6.1....8....2.5..7..6.5..5.......8..13.5...  11.5 01.2 01.2   
.....67..4......3...9.2...521..9.......8....2..8..5...3.....4....2.1...8.7.....6.  11.5 01.2 01.2   
.....67..4......3...9.2...5.1..9.......8....2..82.5...3.....4....2.1...8.7.....6.  11.5 01.2 01.2   
.....6.....71...6..8..27....4...5..83.....9....6..1.7.......3....2.1..5.9..5....4  11.5 01.2 01.2   
....5...9...1...3.6.8...5..2.9.....8..5.9.....4...7...5...6...2.1...4......3...7.  11.5 01.2 01.2   
....5.7.9..71....6.8.....4.2..........6.9.5...4...3...3....8.2.....6......19..6..  11.5 01.2 01.2   
....5.7..4....9.....83....1.8.........12...6.9...7.....6.....18.3.8....2.....54..  11.5 01.2 01.2   
....56...4....9.....92..5...1.8....73......4......28...4.6....37......1...8.2.6..  11.5 01.2 01.2   
...4...8..5...9...6...7...1..45......9...8.7.7...3.1..3......12....2.6.3......8..  11.5 01.2 01.2   
...4..7......8...2..9..15....49...7..3......6...5..41...71.5...6........8...2....  11.5 01.2 01.2   
...4.......678....7....2..4.3....6....1..5.9....2....5.9...7.1..6....3..8...2...7  11.5 01.2 01.2   
...4.67....7....2.....7...5..6.4.5...9...1...8..3.....3..9...5..1......8..4.6.2..  11.5 01.2 01.2   
..3.....94....91......3.54....6.....3...9...1.7...2.6...2...8....8..7.9.9...4...5  11.5 01.2 01.2   
..3...7..4...8...6.9.....1...9..4...5..8....2....25.4..7.6...9...1...3.......8..4  11.5 01.2 01.2   
..3..6.8.45...9....8.1..5.....6...7.....7.8.2..7.....3.1.5.......8.6..2.9....4...  11.5 01.2 01.2   
..3..6.8....1..2..6...7...5..4......3....4.9..98.2.....3...8.6.8.....1.7...5.....  11.5 01.2 01.2   
..3.5...94......3..9.7..1..2...4.....7.9..6....5..2....8......7....9.8.....8...61  11.5 01.2 01.2   
..3.5...9...1..2...8...7.....4....6.3...4...5.7...2.....6.3..9.8......43...8..1..  11.5 01.2 01.2   
..3.5.7.....1...368........2.......5.8.9..4....4.3..7...6.4...7.....15..9..2.....  11.5 01.2 01.2   
..3.5....4....9....8.7....1.7.8...6...5..41..9.........1.2..6......3..78........2  11.5 01.2 01.2   
..3.5....4....9....8.2....1.7.8...1...5.4...79.....8...6.7..1.......3.7........62  11.5 01.2 01.2   
..34...8..5...9...6...3...12...6...3.....59.....8...4...2.7....7.....3...16.....7  11.5 01.2 01.2   
..34...8..5....2.6....7.....3.8...4...8..1...9.4......3..5...9......2..7....6.1..  11.5 01.2 01.2   
.2....7..4...8...6..9....1...1...9...7.6...5.5....8..36..8....5.....3.2.....45...  11.5 01.2 01.2   
.2...67......8..3....1....42........69..4......5..79....2....1...73....89....56..  11.5 01.2 01.2   
.2...67....6.8..3....1....42....56..........8..73...1.57........9..4......2..79..  11.5 01.2 01.2   
.2...67..4......3...9.....5....3...4.7...28..5......9.7....1....1.62......68..1..  11.5 01.2 01.2   
.2...6.....71...3.8.......4..5...97.6...7...8......3...4...2......79..1...93..5..  11.5 01.2 01.2   
.2..5......67.9.2.7.....5..2...64.7.6...9..5....3....6..4......5...7..9......18..  11.5 01.2 01.2   
.2..5....45....1....9..1........7.6....3....8..1.4.2...7...8.....5.2.9.....6....3  11.5 01.2 01.2   
.2.4....9..7.8....6....21..2....13....47......8..9....5......13..2.1.5.......5.6.  11.5 01.2 01.2   
.2.4...8......9..66.....5..2....39..........5.7..4..1.3....5.....17...2..8..1....  11.5 01.2 01.2   
.2.4..7....6.8...3.......6.2..9....7..4.2.9...9.....3.5.8.....1.7.2..3......15...  11.5 01.2 01.2   
.2.......4.......6..93..1....1..83...6.....287.......4...8.5......9.1.7...5.3.8..  11.5 01.2 01.2   
.2.......4.......6..93..1....1..83...6.....2.7......14...8.5......9.1.7...5.3.8..  11.5 01.2 01.2   
.23..6....567...2.7.........1.3..4..6....5.3...9.1.......8..9..5....3.7.....4...8  11.5 01.2 01.2   
1.......9.57..9....8.....5....64.3..8....7.....45....2...2....4....3.6..7....5.1.  11.5 01.2 01.2   
1.......9.5.1...3...8.7..4...46.7........86......4..2...2.6.4...3......59......1.  11.5 01.2 01.2   
1......8...71....6.9.....5...56....7..17.4..5......34.57.2.............2..2.61...  11.5 01.2 01.2   
1.....7...5......6...32.1.5.4...5.....6.....87..9..3....4..8......29....9...1..7.  11.5 01.2 01.2   
1....67..4.7.8.....9.....5...4..16......4.....3.5....2...2...9.........3..8.1.4..  11.5 01.2 01.2   
1...5...9.56........92......1..6...7.....4.2....8..3....1.7...67......4..6...38..  11.5 01.2 01.2   
1...5...9.5....12...8......2...9..5..3.8.......4..7....7...4..56...1.9.....3....6  11.5 01.2 01.2   
1...5..8......9..6..92..5.......3..8.7.9.......4.2.3..6...4....7.......1..5..24..  11.5 01.2 01.2   
1...5......7..9....8.2..4..2.8...3...6......4...3...68.3.8..6......7..5.9....1...  11.5 01.2 01.2   
1...5......7..9..6.6.7...4..4.6..3....5..7...9...1........7.82.......4...8.2....3  11.5 01.2 01.2   
....5...9...1..2..6....7.4..3...4.9...6.9...1...2..5..37......8..4..8.7.8.....9..  11.4 11.4 11.3   
.2...6...4...8......97..1........3.5.6....9.1..13...7...59....38....2..7....4....  11.4 11.4 11.3   
.2.4.......7.8...6.....3.5...9.6...1.....23.....5...4...1...8..6...1...797.......  11.4 11.4 11.3   
1....6.8..5..8.2.....7....4.6...1.9...8.3....9.1..........4...7..5..8.6....2..3..  11.4 11.4 11.3   
1...5.7....6....2..9......4....78.3.3..5..8......3...25....72....21...9..4......6  11.4 11.4 11.3   
..34......5...9...6...2..1...6..34...9.5.....8...6..2...8.7...27.....1.8.6.....7.  11.4 11.4 11.2   
.2.4....9..7....3.6.....5....5..4.6.3...7.....4.8....2.1...8.......41..8...2..9..  11.4 11.4 11.2   
1.......9..71..2...8.....4..3.7.5...5..6.2..4..6.1.5..3.......8...5...9...2..16..  11.4 11.4 11.2   
1...5..8....1....6.9...7...2.9..3....3.....947.....3.....8...5..7...24......6...1  11.4 11.4 11.1   
12...6.....71..2..8......51..9..3..5.1..4..9.7..9..8.......4....7.2..9......6..3.  11.4 11.4 11.1   
.......894....92......7..4..3.7.....5....4..2..6.1.....7.6..5..8....7..4..1.3....  11.4 11.4 10.9   
.23.....94.....1...9..3..4.2..81...4.....78..9...4...23...9...1.6..........5.....  11.4 11.4 10.9   
1..45.7....7..9.3.6..7..........7..3.4..1.9..5..6......1.....98........2..2..83..  11.4 11.4 10.9   
...4...8...7..92......3...52...7.1....19.....76...1...5......4...6..29...7.8....3  11.4 11.4 10.8   
..3...7..4...8...6.9.....1.......6..6....4..8..16..39..7...2...5..8....2....45...  11.4 11.4 10.8   
..3.5....4....9....8.2...6...5..3....3.8...7.9...4.3.....1..6.8..2....1..6......7  11.4 11.4 10.8   
.....678...67....2....3..6..1..9....3....4.....76...2...58..2...4...1..59.......8  11.4 11.4 10.7   
....5....4.7..9....89...4......3...1...2...6.7....58......6..2..1.5....39....85..  11.4 11.4 10.7   
..3..6.8.4..1......9..7......5..8..3......8.2...6...5..1.9..4..7...4......4..5.2.  11.4 11.4 10.7   
..3..6...45.7.....7...3..4.2................8..46...7......19....75...3...53...61  11.4 11.4 10.7   
1...........7.9.3...9.32.....1.9..7.5.....6...4......8...6....5..2.7..1.8.....4..  11.4 11.4 10.7   
1..4.......6..9..2....3.5..2....7.9...7...62..8......73..5.......8..2..6.4..1....  11.4 11.4 10.7   
........94..7...3..8..32.....4.6..5.5....3....675..........8..16..3...4...1.9.2..  11.4 11.4 10.6   
.....678....1....6..6....5.2...4.3...3.9...7...1..3..5..5..8..7...3.....94..2....  11.4 11.4 10.6   
.....67..4......3...82....5.1..9.......7..6....5..8..2..2..78...3..1....9......4.  11.4 11.4 10.6   
.....6.....71...3..8..3.5...9....4.8.....1.2.5...4...3.4..9.3..8..........27...6.  11.4 11.4 10.6   
....56.8..5.1....6.....7...2......9...43..8...6...1..7.7..1...8..8...4..9......2.  11.4 11.4 10.6   
...4...8...7..92......3...52...7.1....19.....76...1...5...9..4...6..29.....8....3  11.4 11.4 10.6   
..34..7.......9..6....2..1...5..8...74.5......3....5.......1..2..47..8..9...6..7.  11.4 11.4 10.6   
.2.....8...6...1..7....3..4.6.8...5.5....7..2......9..3...72....1.9..2......4...5  11.4 11.4 10.6   
.2...6.8.4.......1..9...5...6...3.7...1.9....5..6..4.......8..7.3.2........36..2.  11.4 11.4 10.6   
.2..5...94.....23...62........5.1..8..8.7.....1.9.....3......6..9..1...7..2...4..  11.4 11.4 10.6   
.2.4...8......9..6....3.1....6..1..3.7.2...6...4.6.9...4......57.25.....8......2.  11.4 11.4 10.6   
1...5......7..9....8.2..4...3.8....4..5.7....9......2......18...6.3...4.....2.6.3  11.4 11.4 10.6   
1..4...89......1....8....4526...3.....15..9......2..3...49..8...7.......8...6...7  11.4 11.4 10.6   
.....6.8...6.8.2.1...1..5..2....3..7..86...2..7..9.....3...4.....25...1.9.....4..  11.4 11.4 10.5   
...4...8..5...92..6...3.....7...89.....2...4...6.7...33.5........1....9..6..1...5  11.4 11.4 10.5   
..3..6.8.4.6...1...8.1......3...84......7.......5...97..2.....5.4...16..9...2..4.  11.4 11.4 10.5   
..34..78.........3.8....46.2...9.....7.8....6.....72...6.3....4..1..5...9...1..5.  11.4 11.4 10.5   
.2...6.8.4..........93..1.....5..9.......7.2...6.9...3..16....58....4.7..4.......  11.4 11.4 10.5   
.2.4..7....7..9.3.6...7......1..3.5.7...2.....4.6..........5..1...8...9...9...5.3  11.4 11.4 10.5   
1..4....9..7....3..8....1.4...8......6..4.9.8.....5.2.3....2....1.9..6....5.7....  11.4 11.4 10.5   
1..4.......7.8...6....375...8..6...3.....2...5..3..9..7..9...4.......1....2..3..7  11.4 11.4 10.5   
...4.6....5...9.....9.2..4..7......83.....5....1..2.6...26...9.8...9...7....1.3..  11.4 11.4 10.4   
.2.......4....9.3...8.2...1...7...5...6.....89....34..5..9......1..6.......5.4.7.  11.4 11.4 10.4   
...4..7...5......6..9.2..1....8..3..7....4.....1.6..5..9..1...2..6....9.8....3...  11.4 11.4 10.2   
...4..7.9.5...9.3.........52..8.......6.4.....9...3..1.7...49..8...6......42...1.  11.4 11.4 10.1   
.2...6.8.4..7.....7...3.5......4.8...9...8.2....5....3..2..1..6.1....2.89......1.  11.4 11.4 10.1   
....5.7.9..71....6.8.....4.2..........6.9.1...4...3...3....8.2....9.......5.7.6..  11.4 11.4 10.0   
...4....9....8.2..6....3.1..36..1...7.........15...37.3....5.6.....9.8....42.....  11.4 11.4 10.0   
..34......5...9...6...2..1.2...7.1.........27.9......8.14..56..8...6...1...3.....  11.4 11.4 10.0   
